problem,graph_size,batch_size,epoch_size,val_size,val_dataset,model,embedding_dim,hidden_dim,n_encode_layers,tanh_clipping,normalization,lr_model,lr_critic,lr_decay,n_epochs,max_grad_norm,exp_beta,baseline,bl_alpha,bl_warmup_epochs,eval_batch_size,data_distribution,log_step,epoch_start,seed,run_name
tsp,40,128,12800,1280,,attention,128,128,3,10.0,instance,1E-04,1E-04,0.98,100,1.0,0.8,rollout,0.05,,1024,dist,1,0,,run_k20_
tsp,50,128,12800,1280,,attention,128,128,3,10.0,instance,1E-04,1E-04,0.98,100,1.0,0.8,rollout,0.05,,1024,dist,1,0,,run_k21_
tsp,20,64,6400,1280,,attention,128,128,3,10.0,instance,1E-04,1E-04,0.98,100,1.0,0.8,rollout,0.05,,1024,dist,1,0,,run_k22_
tsp,20,32,3200,1280,,attention,128,128,3,10.0,instance,1E-04,1E-04,0.98,100,1.0,0.8,rollout,0.05,,1024,dist,1,0,,run_k23_
tsp,20,16,1600,1280,,attention,128,128,3,10.0,instance,1E-04,1E-04,0.98,100,1.0,0.8,rollout,0.05,,1024,dist,1,0,,run_k24_
tsp,20,256,25600,1280,,attention,128,128,3,10.0,instance,1E-04,1E-04,0.98,100,1.0,0.8,rollout,0.05,,1024,dist,1,0,,run_k25_
tsp,20,128,12800,1280,,pointer,128,128,3,10.0,instance,1E-04,1E-04,0.98,100,1.0,0.8,rollout,0.05,,1024,dist,1,0,,run_k26_
tsp,20,128,12800,1280,,attention,128,128,3,10.0,batch,1E-04,1E-04,0.98,100,1.0,0.8,rollout,0.05,,1024,dist,1,0,,run_k27_
op,20,128,12800,1280,,attention,128,128,3,10.0,instance,1E-04,1E-04,0.98,100,1.0,0.8,rollout,0.05,,1024,dist,1,0,,run_k28_
op,30,128,12800,1280,,attention,128,128,3,10.0,instance,1E-04,1E-04,0.98,100,1.0,0.8,rollout,0.05,,1024,dist,1,0,,run_k29_
op,40,128,12800,1280,,attention,128,128,3,10.0,instance,1E-04,1E-04,0.98,100,1.0,0.8,rollout,0.05,,1024,dist,1,0,,run_k30_
op,50,128,12800,1280,,attention,128,128,3,10.0,instance,1E-04,1E-04,0.98,100,1.0,0.8,rollout,0.05,,1024,dist,1,0,,run_k31_
